avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
"OBLIGADO RAFAEL, AV.COSTANERA",1150,26,2.26,"CANTILO, INT.","GUIRALDES, INT.",BELGRANO,5644136.619156522,6176116.443518625,5643580.8316179905,6176992.38018128,Av. Costanera Obligado Rafael,Int. Cantilo,Int. Guiraldes,False
SAENZ AV.,500,26,5.2,"MORENO, PERITO AV.","RABANAL, FRANCISCO, INTENDENTE AV.",NUEVA POMPEYA,5645201.089681972,6165045.354381201,5645188.500111929,6164545.575996261,Av. Sáenz,Av. Perito Moreno,Av. Intendente Francisco Rabanal,True
BOYACA AV.,750,26,3.47,CARABOBO AV.,MENDEZ DE ANDES,FLORES,5641527.217157815,6167706.843148436,5641165.383326513,6168363.785401051,Av. Boyacá,Av. Carabobo,Méndez de Andes,False
"BROWN, ALTE. AV.",750,25,3.33,"GARCIA, MARTIN AV.","PEREZ GALDOS, BENITO AV.",BOCA,5649718.815358487,6167470.0928711705,5650297.102813843,6166992.621037689,Av. Alte. Brown,Av. Martín García,Av. Benito Pérez Galdós,False
VARELA AV.,600,25,4.17,AUTOPISTA 25 DE MAYO,ASAMBLEA AV.,FLORES,5641396.564206018,6166212.635821464,5641789.990009645,6165759.628010265,Av. Varela,Autopista 25 de Mayo,Av. Asamblea,False
DIAZ VELEZ AV.,750,25,3.33,PRINGLES,CAMPICHUELO,ALMAGRO,5644183.808603767,6169658.1948176185,5643433.951791718,6169662.304721455,Av. Díaz Vélez,Pringles,Campichuelo,False
TRIUNVIRATO AV.,700,25,3.57,"LE BRETON, TOMAS A.","PEDRAZA, MANUELA",VILLA URQUIZA,5638522.524632066,6173919.7440108135,5638130.623790855,6174495.269948829,Av. Triunvirato,Tomás a Le Breton,Manuela Pedraza,False
CHIVILCOY AV.,600,25,4.17,NUEVA YORK,"VARELA, JOSE PEDRO",VILLA DEVOTO,5636535.939659603,6170730.497414762,5636883.67783543,6170242.143386585,Av. Chivilcoy,Nueva York,José Pedro Varela,False
DIAZ VELEZ AV.,400,25,6.25,"MARECHAL, LEOPOLDO",HIDALGO,CABALLITO,5643372.930116555,6169662.5370242605,5642972.954823385,6169666.611428767,Av. Díaz Vélez,Leopoldo Marechal,Hidalgo,False
SAENZ AV.,500,25,5.0,"MORENO, PERITO AV.","RABANAL, FRANCISCO, INTENDENTE AV.",NUEVA POMPEYA,5645174.487553161,6165044.317609403,5645159.208996656,6164544.577663513,Av. Sáenz,Av. Perito Moreno,Av. Intendente Francisco Rabanal,True
SAENZ AV.,500,25,5.0,"MORENO, PERITO AV.","RABANAL, FRANCISCO, INTENDENTE AV.",NUEVA POMPEYA,5645192.344523694,6165044.781981161,5645179.617537102,6164544.952507665,Av. Sáenz,Av. Perito Moreno,Av. Intendente Francisco Rabanal,True
