polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R01,Palermo,R09,Chacarita,LOC015507,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC003345,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC020109,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC008843,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC005821,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC002204,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC002121,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC009843,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC020114,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC011090,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC001423,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC015475,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC000373,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC017421,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC020115,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC005389,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC001490,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC020117,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC020108,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015478,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015506,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC020118,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019478,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC004893,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019477,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015505,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015503,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC007623,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC020109,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019479,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC010861,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC000504,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC017404,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC008423,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC017405,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC001828,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC005326,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC003140,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC005821,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015488,Chacarita,15.0
R01,Palermo,R19,Federico Lacroze,LOC001871,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC005111,Colegiales,13.0
R01,Palermo,R19,Federico Lacroze,LOC000168,Colegiales,13.0
R01,Palermo,R19,Federico Lacroze,LOC019480,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC007916,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC000763,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC008294,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC003802,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015078,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC010229,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC010313,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015079,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019613,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC003391,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC007333,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC006698,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC004026,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015081,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC016810,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015080,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC010311,Palermo,14.0
