polo_id,calles_dominantes_antes,calles_dominantes_despues,cambio,diff,metodo
P083,Juan Domingo Peron (8); Gascon (5); Sarmiento (2); Eva Peron (2); Estado De Palestina (1); Corrientes (1),Juan Domingo Peron (8); Gascon (5); Sarmiento (2); Eva Peron (2); Estado De Palestina (1); Corrientes (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P025-2,Lope De Vega (12); Alvarez Jonte (7); Cuenca (1); La Nina (1); Calderon De La Barca (1); Jose Maria Verduga (1),Lope De Vega (12); Alvarez Jonte (7); Cuenca (1); La Nina (1); Calderon De La Barca (1); Jose Maria Verduga (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P058,Carabobo (10); Directorio (5); Boyaca (4); Juan Bautista Alberdi (2); Rivadavia (2); Fray Luis Beltran (1),Carabobo (10); Directorio (5); Boyaca (4); Juan Bautista Alberdi (2); Rivadavia (2); Fray Luis Beltran (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P007,Antonio Jose De Sucre (8); Figueroa Alcorta (2); La Pampa (2); Castaneda (2); Echeverria (1); Ramsay (1),Antonio Jose De Sucre (8); Figueroa Alcorta (2); La Pampa (2); Castaneda (2); Echeverria (1); Ramsay (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P054,Rivadavia (8); Curapaligue (3); Bacacay (3); Yerbal (3); Donato Alvarez (3); Banfi (1),Rivadavia (8); Curapaligue (3); Bacacay (3); Yerbal (3); Donato Alvarez (3); Banfi (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P064,Sinclair (5); Del Libertador (5); Cervino (3); Infanta Isabel (3); Demaria (2); Juan Francisco Segui (2),Sinclair (5); Del Libertador (5); Cervino (3); Infanta Isabel (3); Demaria (2); Juan Francisco Segui (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P029,Pavon (9); Boedo (7); Juan De Garay (4); Inclan (3); Castro Barros (2); Castro (1),Pavon (9); Boedo (7); Juan De Garay (4); Inclan (3); Castro Barros (2); Castro (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P080,Corrientes (12); Raul Scalabrini Ortiz (6); Vera (2); Araoz (2); Luis Maria Drago (1); Malabia (1),Corrientes (12); Raul Scalabrini Ortiz (6); Vera (2); Araoz (2); Luis Maria Drago (1); Malabia (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P071,Federico Lacroze (14); Cap Ramon Freire (1); Zapiola (1); Capitan Ramon Freire (1); Conesa (1); Colegiales (1),Federico Lacroze (14); Capitan Ramon Freire (2); Zapiola (1); Conesa (1); Colegiales (1),SI,ANTES: Federico Lacroze (14); Cap Ramon Freire (1); Zapiola (1); Capitan Ramon Freire (1); Conesa (1); Colegiales (1) | DESPUES: Federico Lacroze (14); Capitan Ramon Freire (2); Zapiola (1); Conesa (1); Colegiales (1),normalizar_calles + callejero_canonico + aliases declarados en el pedido
P001,Costanera Rafael Obligado (14); Aeroparque Jorge Newbery (Aep) (7); Costanera Rafael Obligado S/N (2); Costanera Obligado Rafael (1); Rafael Obligado Costanera (1); Terminal (1),Costanera Rafael Obligado (19); Aeroparque Jorge Newbery (Aep) (7); Terminal (1); Aeropuerto Internacional Jorge Newbery (1); Coastanera Rafael Obligdo C1425 Caba (1); Sector Esteril Embarque Nacional Terminal A Planta Alta Aeroparque Internacional Jorge Newbery (1),SI,ANTES: Costanera Rafael Obligado (14); Aeroparque Jorge Newbery (Aep) (7); Costanera Rafael Obligado S/N (2); Costanera Obligado Rafael (1); Rafael Obligado Costanera (1); Terminal (1) | DESPUES: Costanera Rafael Obligado (19); Aeroparque Jorge Newbery (Aep) (7); Terminal (1); Aeropuerto Internacional Jorge Newbery (1); Coastanera Rafael Obligdo C1425 Caba (1); Sector Esteril Embarque Nacional Terminal A Planta Alta Aeroparque Internacional Jorge Newbery (1),normalizar_calles + callejero_canonico + aliases declarados en el pedido
