polo_id,nombre_polo,soporte_clase,soporte_detalle,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha,forma_declarada,rama_calibracion,calibracion_contaminada
PG016_CORREDOR_DOHO_DONADO_HOLMBERG,DoHo / Donado-Holmberg,envolvente publicada,envolvente editorial R16 del Atlas,121,3.3799515724260387,193.36819865096498,1830.6760217182282,,0.1322314049586777,0.3305785123966942,0.4628099173553719,0.628099173553719,0.8099173553719008,3.327970674130085,119.0,corredor,B,si
PG017_VILLA_URQUIZA,Villa Urquiza,envolvente publicada,envolvente editorial R17 del Atlas,528,1.5595221471280702,539.9559042406484,2222.19500999859,,0.09090909090909091,0.14962121212121213,0.20643939393939395,0.2935606060606061,0.3428030303030303,1.3902472969972657,446.62,nucleo compacto,B,si
PG018_NUEVO_BAJO_EN_RETIRO_ESMERALDA_Y_PARAGUAY,Nuevo Bajo en Retiro / Esmeralda y Paraguay,envolvente publicada,envolvente editorial R18 del Atlas,318,1.143413064344472,225.96730078423718,617.8867091960876,,0.18867924528301888,0.2830188679245283,0.4119496855345912,0.5943396226415094,0.7264150943396226,1.0004540475776356,48.39,nucleo compacto,B,si
PG019_AVENIDA_FEDERICO_LACROZE_DESDE_LIBERTADOR_,Federico Lacroze / Libertador a Cabildo,envolvente publicada,envolvente editorial R19 del Atlas,185,7.137320483976702,147.662312838705,2269.3346559238544,,0.4,0.518918918918919,0.6378378378378379,0.8054054054054054,0.9243243243243243,4.800893741311454,89.49,corredor,B,si
PG020_PARQUE_SAAVEDRA_AVENIDA_GARCIA_DEL_RIO,Parque Saavedra / Garcia del Rio,envolvente publicada,envolvente editorial R20 del Atlas,61,2.537011108159899,121.03467460446207,710.7508768047418,,0.29508196721311475,0.5409836065573771,0.6721311475409836,0.8852459016393442,1.0,2.2812386403082505,28.38,corredor,B,si
PG021_CIRCUITO_GASTRONOMICO_DE_PATERNAL,Paternal,envolvente publicada,envolvente editorial R21 del Atlas,208,1.758803910933535,529.4821004013287,2490.4881240148134,,0.052884615384615384,0.08173076923076923,0.1201923076923077,0.17307692307692307,0.23557692307692307,1.466036512652308,321.01,nucleo compacto,B,si
PG022_VILLA_PUEYRREDON_AVENIDA_SAN_MARTIN,Villa Pueyrredon / Av. San Martin,envolvente publicada,envolvente editorial R22 del Atlas,198,1.6181148614349754,445.74248080624864,1779.829376379623,,0.06565656565656566,0.11616161616161616,0.18686868686868688,0.2727272727272727,0.4090909090909091,1.5319385128787508,305.55,nucleo compacto,B,si
PGF2_COLEGIALES,Colegiales,barrio administrativo,polígono GCBA de COLEGIALES,441,1.2307090493630828,562.8368730342759,1550.404024705886,,0.09523809523809523,0.15419501133786848,0.19954648526077098,0.31746031746031744,0.3945578231292517,1.3254214197003993,229.08,nucleo compacto,B,si
PGF2_MONTSERRAT,Monserrat,barrio administrativo,polígono GCBA de MONSERRAT,913,2.018131203428663,382.2791638476516,1857.25575254049,,0.1171960569550931,0.17305585980284777,0.23329682365826945,0.3253012048192771,0.4085432639649507,2.1556565649259705,219.97,corredor,B,si
PGF2_RETIRO,Retiro,barrio administrativo,polígono GCBA de RETIRO,598,1.0751710820379552,429.1052500398006,1374.2644713334703,,0.11705685618729098,0.17391304347826086,0.23076923076923078,0.33277591973244147,0.4331103678929766,1.5335354018500185,451.65,nucleo compacto,B,si
PGF2_FLORES,Flores,barrio administrativo,polígono GCBA de FLORES,773,1.73713564655146,704.8760811531914,3284.9525198062797,,0.04657179818887452,0.07373868046571798,0.09573091849935317,0.14747736093143596,0.2056921086675291,1.767475748869564,859.45,nucleo compacto,B,si
PGF2_FLORESTA,Floresta,barrio administrativo,polígono GCBA de FLORESTA,282,2.1467894897710416,454.8205982146356,2405.874276306214,,0.08156028368794327,0.10638297872340426,0.15602836879432624,0.2730496453900709,0.3900709219858156,2.4277045889947924,232.16,corredor,B,si
PGF2_PARQUE_PATRICIOS,Parque Patricios,barrio administrativo,polígono GCBA de PARQUE PATRICIOS,278,1.6337704980631689,461.6491636784684,1960.4105944059634,,0.07913669064748201,0.12589928057553956,0.17985611510791366,0.2841726618705036,0.3597122302158273,1.1390897096655679,374.52,nucleo compacto,B,si
PGR_P021,P021 · Liniers,polo del borrador,polo P021 de borrador_polos_v3,262,1.6460805298452097,246.97877511453308,1046.9843050525492,,0.16793893129770993,0.25572519083969464,0.3473282442748092,0.5,0.6755725190839694,1.6831974334047195,77.86,nucleo compacto,B,si
PGR_P073,P073 · Palermo,polo del borrador,polo P073 de borrador_polos_v3,207,2.1303456224653763,143.18139303713377,780.0604034707767,,0.36231884057971014,0.4444444444444444,0.6135265700483091,0.8115942028985508,0.8454106280193237,1.4502546375935872,39.19,corredor,B,si
