fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F01,f01_oferta_establecimientos_gastronomicos.csv,1334,,PIZZERIA D' ANY,CONFITERIA / PIZZERIA,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,ALVAREZ JONTE AV. 4001,10,Monte Castro,-34.61505218,-58.49692775,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2821,,Plan B Pizza,BAR / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,BAUNESS 2802,12,Villa Urquiza,-34.57193931,-58.4903744,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,397,,PORTO PIZZA,BAR / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"SALGUERO, JERONIMO 2671",14,Palermo,-34.58072331,-58.40877993,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,603,,PORTO PIZZA,ITALIANA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CABILDO AV. 1532,13,Colegiales,-34.56675516,-58.45131975,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,547,,POSTO PIZZA,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CABILDO AV. 1532,13,Colegiales,-34.56675516,-58.45131975,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2455,,PRONTO PIZZA,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,FLORIDA 233,1,San Nicolas,-34.60524201,-58.37507125,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2454,,PRONTO PIZZA,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,FLORIDA 577,1,San Nicolas,-34.60131068,-58.37525769,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2456,,PROPUESTA,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,VIAMONTE 826,1,San Nicolas,-34.60013048,-58.3786892,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2458,,PTO. DEL CARMEN,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CORDOBA AV. 628,1,San Nicolas,-34.5988298,-58.37593727,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1464,,QUIJOTE PIZZA CAFE,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,DE MAYO AV. 1101,1,Monserrat,-34.60903144,-58.38223473,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,868,,RESTAURANT Y CONFITERIA DE LA PROVI,RESTAURANTE / INTERNACIONAL,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,TUCUMAN 1889,3,Balvanera,-34.60200757,-58.39381099,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1199,,SALSA CRIOLLA II,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,ESTADO PLURINACIONAL DE BOLIVIA 100,7,Flores,-34.62848867,-58.46608152,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1067,,SOCRATES,CONFITERIA / SANDWICHERIA,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"GOYENA, PEDRO AV. 1402",6,Caballito,-34.62758433,-58.44715924,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1068,,SPIAGGE DI NAPOLI,CONFITERIA / ITALIANA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,INDEPENDENCIA AV. 3527,5,Almagro,-34.62081443,-58.41555078,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1201,,STAFF,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,RIVADAVIA AV. 7178,7,Flores,-34.63002923,-58.46650754,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,451,,SUPER PIZZA,RESTAURANTE / INTERNACIONAL,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,GODOY CRUZ 2851,14,Palermo,-34.57725778,-58.42388404,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1203,,TALA BUENA,CONFITERIA / PIZZERIA,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CUENCA 141,7,Flores,-34.62986565,-58.47431579,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,461,,THE COFFEE STORE,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,SANTA FE AV. 2353,2,Recoleta,-34.5948775,-58.40047819,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,462,,THYMUS,CONFITERIA / FRANCESA,FRANCES,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LERMA 525,15,Villa Crespo,-34.59378927,-58.43230448,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1283,,TORRE DE PIZZA,RESTAURANTE / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,RIVADAVIA AV. 10856,9,Liniers,-34.63926916,-58.51681857,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2524,,TRIBUNALES,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LAVALLE 1202,1,San Nicolas,-34.60275522,-58.38392114,f01_fuente,,
